"rental_id","rental_date","payment_id","amount"
15282,2006-02-14 15:16:03.000,32063,0.00
15717,2006-02-14 15:16:03.000,32079,0.00
14741,2006-02-14 15:16:03.000,32034,0.00
12915,2006-02-14 15:16:03.000,31983,0.00
14769,2006-02-14 15:16:03.000,31946,0.00
13577,2006-02-14 15:16:03.000,31966,0.00
11782,2006-02-14 15:16:03.000,31942,0.00
13161,2006-02-14 15:16:03.000,32066,0.00
11676,2006-02-14 15:16:03.000,32085,0.00
12610,2006-02-14 15:16:03.000,31920,0.00
12352,2006-02-14 15:16:03.000,32060,0.00
15497,2006-02-14 15:16:03.000,32050,0.00
15234,2006-02-14 15:16:03.000,32089,0.00
13713,2006-02-14 15:16:03.000,31918,0.00
12959,2006-02-14 15:16:03.000,31925,0.00
15745,2006-02-14 15:16:03.000,32026,0.00
15407,2006-02-14 15:16:03.000,32024,0.00
14516,2006-02-14 15:16:03.000,31970,0.00
15191,2006-02-14 15:16:03.000,32040,0.00
13968,2006-02-14 15:16:03.000,32015,0.00
14137,2006-02-14 15:16:03.000,32030,0.00
13464,2006-02-14 15:16:03.000,32001,0.00
14488,2006-02-14 15:16:03.000,32039,0.00
14425,2006-02-14 15:16:03.000,31996,0.00
1411,2005-06-15 17:05:36.000,18189,0.99
3497,2005-07-06 00:00:03.000,25527,0.99
2020,2005-06-17 12:39:50.000,17676,0.99
2445,2005-06-18 19:02:11.000,18887,0.99
3459,2005-06-21 21:45:47.000,18883,0.99
2372,2005-06-18 14:37:37.000,18877,0.99
1437,2005-06-15 18:37:04.000,18876,0.99
13676,2005-08-20 08:33:21.000,23642,0.99
9774,2005-07-31 09:57:51.000,25623,0.99
11986,2005-08-17 18:21:58.000,20310,0.99
14031,2005-08-20 21:24:24.000,20391,0.99
15672,2005-08-23 09:09:18.000,24642,0.99
13135,2005-08-19 12:22:52.000,20390,0.99
11269,2005-08-02 14:11:41.000,19810,0.99
15731,2005-08-23 11:33:25.000,23774,0.99
5548,2005-07-10 02:56:45.000,25735,0.99
9981,2005-07-31 17:08:31.000,25782,0.99
10549,2005-08-01 12:46:39.000,23269,0.99
8238,2005-07-29 00:30:06.000,25770,0.99
2956,2005-06-20 06:47:23.000,18235,0.99
2253,2005-06-18 05:11:43.000,18977,0.99
4700,2005-07-08 11:37:21.000,25734,0.99
1859,2005-06-17 01:13:38.000,18232,0.99
1652,2005-06-16 09:31:37.000,18231,0.99
1332,2005-06-15 11:36:01.000,18952,0.99
14422,2005-08-21 11:21:46.000,20392,0.99
7936,2005-07-28 12:33:21.000,28015,0.99
13084,2005-08-19 10:27:25.000,22644,0.99
14245,2005-08-21 05:30:54.000,20329,0.99
13640,2005-08-20 07:22:53.000,22112,0.99
2197,2005-06-18 01:50:27.000,18900,0.99
12542,2005-08-18 14:21:11.000,24808,0.99
3191,2005-06-20 23:46:39.000,18197,0.99
12809,2005-08-19 00:42:24.000,22896,0.99
12226,2005-08-18 03:00:48.000,24843,0.99
14476,2005-08-21 13:31:07.000,23631,0.99
11361,2005-08-02 17:46:34.000,22163,0.99
11998,2005-08-17 18:46:21.000,19836,0.99
1732,2005-06-16 15:34:41.000,18997,0.99
10666,2005-08-01 16:56:36.000,24563,0.99
9702,2005-07-31 07:34:07.000,28076,0.99
1464,2005-06-15 20:38:14.000,17690,0.99
1465,2005-06-15 20:43:08.000,17691,0.99
13456,2005-08-20 00:33:19.000,22802,0.99
2565,2005-06-19 03:44:03.000,18996,0.99
13563,2005-08-20 04:33:31.000,20434,0.99
3006,2005-06-20 10:10:29.000,19019,0.99
13141,2005-08-19 12:41:41.000,20545,0.99
13009,2005-08-19 07:50:35.000,20544,0.99
12663,2005-08-18 19:10:52.000,20535,0.99
4045,2005-07-07 03:26:14.000,28117,0.99
1358,2005-06-15 13:28:48.000,17885,0.99
3664,2005-07-06 08:15:57.000,28107,0.99
12235,2005-08-18 03:17:50.000,22582,0.99
10108,2005-07-31 21:02:14.000,25843,0.99
10274,2005-08-01 03:16:51.000,20527,0.99
13396,2005-08-19 22:06:09.000,21891,0.99
12780,2005-08-18 23:48:16.000,20511,0.99
4888,2005-07-08 20:04:27.000,28097,0.99
5778,2005-07-10 13:41:37.000,25814,0.99
4197,2005-07-07 11:07:52.000,25811,0.99
12224,2005-08-18 02:59:09.000,20493,0.99
15786,2005-08-23 13:48:34.000,20488,0.99
12025,2005-08-17 19:59:06.000,24629,0.99
5440,2005-07-09 21:45:17.000,25900,0.99
7145,2005-07-27 07:01:00.000,30231,0.99
12386,2005-08-18 08:45:57.000,24597,0.99
1779,2005-06-16 18:55:11.000,17871,0.99
6330,2005-07-11 19:15:42.000,30334,0.99
14737,2005-08-21 22:27:11.000,23835,0.99
10673,2005-08-01 17:11:51.000,21984,0.99
15373,2005-08-22 22:08:11.000,22813,0.99
2217,2005-06-18 03:12:29.000,18961,0.99
8105,2005-07-28 18:59:46.000,25707,0.99
4386,2005-07-07 20:55:19.000,25697,0.99
1937,2005-06-17 07:16:46.000,17683,0.99
2530,2005-06-19 01:20:00.000,18631,0.99
10072,2005-07-31 19:50:37.000,28019,0.99
5049,2005-07-09 03:54:12.000,30622,0.99
9905,2005-07-31 14:37:03.000,28004,0.99
2422,2005-06-18 17:28:57.000,18216,0.99
12892,2005-08-19 03:46:34.000,23809,0.99
1225,2005-06-15 03:45:35.000,17857,0.99
3120,2005-06-20 18:19:29.000,18916,0.99
8141,2005-07-28 20:21:19.000,28054,0.99
15418,2005-08-22 23:54:14.000,22656,0.99
13163,2005-08-19 13:29:46.000,23233,0.99
15807,2005-08-23 14:35:10.000,20300,0.99
15571,2005-08-23 05:26:30.000,23236,0.99
4030,2005-07-07 02:25:42.000,25540,0.99
3844,2005-07-06 16:37:58.000,31029,0.99
11861,2005-08-17 13:53:47.000,24824,0.99
11070,2005-08-02 07:10:39.000,19823,0.99
13684,2005-08-20 08:55:53.000,20275,0.99
10677,2005-08-01 17:24:35.000,21587,0.99
1961,2005-06-17 09:02:58.000,17675,0.99
14811,2005-08-22 01:09:04.000,23198,0.99
2053,2005-06-17 15:19:34.000,18193,0.99
3690,2005-07-06 09:46:03.000,27061,0.99
1761,2005-06-16 17:49:57.000,18192,0.99
3308,2005-06-21 07:58:36.000,18879,0.99
15535,2005-08-23 03:58:02.000,20254,0.99
10705,2005-08-01 18:38:54.000,20590,0.99
13485,2005-08-20 01:20:14.000,20568,0.99
1943,2005-06-17 07:49:17.000,19055,0.99
2978,2005-06-20 08:25:16.000,18283,0.99
3929,2005-07-06 20:52:39.000,27266,0.99
2038,2005-06-17 14:00:51.000,19034,0.99
13450,2005-08-20 00:18:15.000,23272,0.99
7610,2005-07-28 00:11:35.000,27243,0.99
13961,2005-08-20 18:16:34.000,23893,0.99
10625,2005-08-01 15:27:10.000,22721,0.99
13889,2005-08-20 15:40:06.000,21738,0.99
13645,2005-08-20 07:47:05.000,20652,0.99
12090,2005-08-17 22:21:43.000,20693,0.99
14111,2005-08-21 00:59:01.000,23901,0.99
5588,2005-07-10 04:21:10.000,28192,0.99
12409,2005-08-18 09:43:58.000,23297,0.99
10055,2005-07-31 19:15:58.000,25962,0.99
3516,2005-07-06 00:50:30.000,25975,0.99
9428,2005-07-30 21:18:37.000,25950,0.99
5252,2005-07-09 13:40:44.000,25942,0.99
13430,2005-08-19 23:25:43.000,20596,0.99
6275,2005-07-11 16:12:11.000,25914,0.99
11945,2005-08-17 17:05:33.000,20579,0.99
8231,2005-07-29 00:14:37.000,25890,0.99
13275,2005-08-19 17:53:38.000,20554,0.99
15088,2005-08-22 11:28:26.000,20555,0.99
8941,2005-07-30 02:59:21.000,25864,0.99
9219,2005-07-30 13:15:21.000,25866,0.99
1784,2005-06-16 19:25:32.000,19022,0.99
9750,2005-07-31 09:19:46.000,28105,0.99
6561,2005-07-12 05:24:02.000,28111,0.99
3365,2005-06-21 12:55:48.000,19020,0.99
9853,2005-07-31 12:58:20.000,31405,0.99
5295,2005-07-09 15:25:06.000,29942,0.99
12572,2005-08-18 15:32:54.000,25007,0.99
14414,2005-08-21 11:08:17.000,21878,0.99
1843,2005-06-16 23:53:42.000,19011,0.99
10238,2005-08-01 02:08:05.000,24520,0.99
9855,2005-07-31 13:00:33.000,25842,0.99
1908,2005-06-17 05:10:36.000,17570,0.99
12379,2005-08-18 08:26:48.000,23618,0.99
7924,2005-07-28 12:08:53.000,30080,0.99
8872,2005-07-30 00:13:54.000,31112,0.99
15041,2005-08-22 09:43:18.000,20501,0.99
11073,2005-08-02 07:13:03.000,24840,0.99
14910,2005-08-22 04:50:52.000,22103,0.99
7343,2005-07-27 14:27:13.000,28087,0.99
6622,2005-07-12 09:04:11.000,25827,0.99
9578,2005-07-31 02:54:31.000,30302,0.99
14509,2005-08-21 14:39:58.000,21920,0.99
3368,2005-06-21 13:18:38.000,17875,0.99
8790,2005-07-29 20:51:41.000,25806,0.99
14423,2005-08-21 11:23:59.000,21930,0.99
4754,2005-07-08 14:20:01.000,30218,0.99
13039,2005-08-19 08:55:19.000,20474,0.99
11925,2005-08-17 16:23:04.000,20472,0.99
9509,2005-07-31 00:22:42.000,25772,0.99
1751,2005-06-16 17:00:14.000,18982,0.99
13378,2005-08-19 21:33:35.000,20457,0.99
2673,2005-06-19 11:42:20.000,18615,0.99
11844,2005-08-17 13:16:04.000,20452,0.99
1211,2005-06-15 03:01:20.000,18974,0.99
14113,2005-08-21 01:03:30.000,19735,0.99
14756,2005-08-21 23:21:23.000,19736,0.99
5622,2005-07-10 05:39:37.000,28527,0.99
4138,2005-07-07 08:17:13.000,25732,0.99
5865,2005-07-10 18:31:05.000,30417,0.99
16045,2005-08-23 22:25:26.000,22814,0.99
13811,2005-08-20 13:00:30.000,24297,0.99
15242,2005-08-22 17:48:10.000,20422,0.99
14063,2005-08-20 22:36:40.000,19613,0.99
13936,2005-08-20 17:22:35.000,20420,0.99
3808,2005-07-06 15:15:35.000,25696,0.99
5071,2005-07-09 05:00:39.000,29117,0.99
2984,2005-06-20 08:43:44.000,17865,0.99
1533,2005-06-16 00:46:02.000,18953,0.99
7437,2005-07-27 17:39:18.000,30523,0.99
1443,2005-06-15 18:57:51.000,17864,0.99
14663,2005-08-21 19:47:55.000,24132,0.99
1516,2005-06-15 23:11:10.000,18225,0.99
3354,2005-06-21 11:29:49.000,18223,0.99
5836,2005-07-10 16:49:02.000,25663,0.99
13294,2005-08-19 18:36:35.000,22050,0.99
9949,2005-07-31 15:50:10.000,25659,0.99
7929,2005-07-28 12:16:40.000,25635,0.99
8869,2005-07-30 00:06:32.000,25641,0.99
14926,2005-08-22 05:18:44.000,20355,0.99
9645,2005-07-31 05:42:49.000,28002,0.99
3888,2005-07-06 18:54:20.000,26822,0.99
12913,2005-08-19 04:25:39.000,20343,0.99
4842,2005-07-08 18:21:30.000,30810,0.99
15956,2005-08-23 19:19:21.000,20331,0.99
5795,2005-07-10 14:36:29.000,25593,0.99
15650,2005-08-23 08:29:53.000,20322,0.99
5709,2005-07-10 10:31:52.000,25566,0.99
14852,2005-08-22 02:25:53.000,20314,0.99
13924,2005-08-20 17:05:18.000,21196,0.99
1931,2005-06-17 06:51:56.000,17710,0.99
5498,2005-07-10 00:27:21.000,25564,0.99
2724,2005-06-19 14:57:54.000,18901,0.99
2118,2005-06-17 20:28:29.000,18899,0.99
11504,2005-08-16 23:16:46.000,20292,0.99
9078,2005-07-30 08:01:00.000,25550,0.99
10735,2005-08-01 19:29:45.000,22132,0.99
1603,2005-06-16 06:14:03.000,17726,0.99
3812,2005-07-06 15:22:19.000,26472,0.99
9265,2005-07-30 14:55:25.000,28442,0.99
6732,2005-07-12 13:58:51.000,25532,0.99
1562,2005-06-16 02:46:27.000,17725,0.99
12448,2005-08-18 10:59:04.000,23371,0.99
3872,2005-07-06 18:00:19.000,27934,0.99
4799,2005-07-08 16:49:27.000,27926,0.99
4609,2005-07-08 07:22:29.000,28580,0.99
9089,2005-07-30 08:23:39.000,26346,0.99
2968,2005-06-20 07:41:47.000,19446,0.99
10201,2005-08-01 00:42:18.000,25538,0.99
7615,2005-07-28 00:15:24.000,26394,0.99
10451,2005-08-01 09:11:25.000,22765,0.99
1592,2005-06-16 05:14:37.000,19220,0.99
8409,2005-07-29 06:41:22.000,25584,0.99
4066,2005-07-07 04:34:09.000,26326,0.99
13042,2005-08-19 09:06:08.000,20912,0.99
13634,2005-08-20 07:16:45.000,20885,0.99
3479,2005-07-05 23:08:53.000,25517,0.99
7655,2005-07-28 02:01:11.000,27940,0.99
15827,2005-08-23 15:15:19.000,20257,0.99
1495,2005-06-15 21:54:31.000,19168,0.99
3153,2005-06-20 20:44:15.000,17846,0.99
1963,2005-06-17 09:09:31.000,19097,0.99
11234,2005-08-02 13:12:17.000,22944,0.99
11889,2005-08-17 15:08:27.000,20727,0.99
1380,2005-06-15 15:13:10.000,19110,0.99
6454,2005-07-12 01:00:12.000,27196,0.99
12910,2005-08-19 04:23:13.000,23874,0.99
3539,2005-07-06 01:39:08.000,27176,0.99
