"film_id","title","rental_rate","rank"
336,French Holiday,4.99,1
103,Bucket Brotherhood,4.99,1
338,Frisco Forrest,4.99,1
694,Prejudice Oleander,4.99,1
340,Frontier Cabin,4.99,1
691,Poseidon Forever,4.99,1
342,Fugitive Maguire,4.99,1
994,Wyoming Storm,4.99,1
686,Pluto Oleander,4.99,1
685,Platoon Instinct,4.99,1
346,Galaxy Sweethearts,4.99,1
347,Games Bowfinger,4.99,1
683,Pity Bound,4.99,1
908,Trap Guys,4.99,1
350,Garden Island,4.99,1
964,Waterfront Deliverance,4.99,1
682,Pittsburgh Hunchback,4.99,1
989,Working Microcosmos,4.99,1
354,Ghost Groundhog,4.99,1
680,Pinocchio Simon,4.99,1
905,Trainspotting Strangers,4.99,1
676,Philadelphia Wife,4.99,1
671,Perdition Fargo,4.99,1
359,Gladiator Westward,4.99,1
670,Pelican Comforts,4.99,1
904,Train Bunch,4.99,1
903,Traffic Hobbit,4.99,1
668,Peak Forever,4.99,1
902,Trading Pinocchio,4.99,1
365,Gold River,4.99,1
666,Paycheck Wait,4.99,1
662,Paths Control,4.99,1
112,Calendar Gunfight,4.99,1
369,Goodfellas Salute,4.99,1
113,California Birds,4.99,1
371,Gosford Donnie,4.99,1
372,Graceland Dynamite,4.99,1
898,Tourist Pelican,4.99,1
661,Past Suicides,4.99,1
133,Chamber Italian,4.99,1
659,Park Citizen,4.99,1
655,Panther Reds,4.99,1
961,Wash Heavenly,4.99,1
654,Panky Submarine,4.99,1
957,War Notting,4.99,1
381,Grinch Massage,4.99,1
653,Panic Club,4.99,1
648,Outlaw Hanky,4.99,1
385,Groundhog Uncut,4.99,1
386,Gump Date,4.99,1
640,Opus Ice,4.99,1
639,Opposite Necklace,4.99,1
117,Candles Grapes,4.99,1
390,Guys Falcon,4.99,1
897,Torque Bound,4.99,1
392,Hall Cassidy,4.99,1
893,Titans Jerk,4.99,1
120,Caribbean Liberty,4.99,1
956,Wanda Chamber,4.99,1
637,Open African,4.99,1
396,Hanging Deep,4.99,1
892,Titanic Boondock,4.99,1
398,Hanover Galaxy,4.99,1
123,Casablanca Super,4.99,1
124,Casper Dragonfly,4.99,1
633,October Submarine,4.99,1
632,Nuts Ties,4.99,1
403,Harry Idaho,4.99,1
627,North Tequila,4.99,1
405,Haunted Antitrust,4.99,1
624,Nightmare Chill,4.99,1
614,Name Detective,4.99,1
408,Head Stranger,4.99,1
409,Heartbreakers Bright,4.99,1
955,Walls Artist,4.99,1
411,Heavenly Gun,4.99,1
412,Heavyweights Beast,4.99,1
127,Cat Coneheads,4.99,1
889,Ties Hunger,4.99,1
13,Ali Forever,4.99,1
611,Musketeers Wait,4.99,1
607,Muppet Mile,4.99,1
603,Movie Shakespeare,4.99,1
888,Thin Sagebrush,4.99,1
420,Holes Brannigan,4.99,1
421,Holiday Games,4.99,1
422,Hollow Jeopardy,4.99,1
597,Moonwalker Fool,4.99,1
596,Moonshine Cabin,4.99,1
591,Monsoon Cause,4.99,1
426,Home Pity,4.99,1
588,Model Fish,4.99,1
131,Center Dinosaur,4.99,1
587,Mod Secretary,4.99,1
583,Mission Zoolander,4.99,1
887,Thief Pelican,4.99,1
134,Champion Flatliners,4.99,1
265,Dying Maker,4.99,1
985,Wonderland Christmas,4.99,1
580,Mine Titans,4.99,1
435,Hotel Happiness,4.99,1
579,Minds Truman,4.99,1
44,Attacks Hate,4.99,1
45,Attraction Newton,4.99,1
439,Hunchback Impossible,4.99,1
578,Million Ace,4.99,1
46,Autumn Crow,4.99,1
139,Chasing Fight,4.99,1
884,Terminator Club,4.99,1
444,Hustler Party,4.99,1
141,Chicago North,4.99,1
446,Hysterical Grail,4.99,1
883,Tequila Past,4.99,1
881,Temple Attraction,4.99,1
451,Igby Maker,4.99,1
575,Midsummer Groundhog,4.99,1
144,Chinatown Gladiator,4.99,1
570,Mermaid Insects,4.99,1
455,Impossible Prejudice,4.99,1
456,Inch Jet,4.99,1
568,Memento Zoolander,4.99,1
565,Matrix Snowman,4.99,1
459,Informer Double,4.99,1
460,Innocent Usual,4.99,1
563,Massacre Usual,4.99,1
145,Chisum Behavior,4.99,1
47,Baby Hall,4.99,1
879,Telegraph Voyage,4.99,1
465,Interview Liaisons,4.99,1
466,Intolerable Intentions,4.99,1
556,Maltese Hope,4.99,1
48,Backlash Undefeated,4.99,1
469,Iron Moon,4.99,1
470,Ishtar Rocketeer,4.99,1
878,Teen Apollo,4.99,1
472,Italian African,4.99,1
384,Grosse Wonderful,4.99,1
151,Cincinatti Whisperer,4.99,1
551,Maiden Home,4.99,1
8,Airport Pollock,4.99,1
543,Madigan Dorado,4.99,1
871,Sweden Shining,4.99,1
532,Loser Hustler,4.99,1
867,Super Wyoming,4.99,1
156,Clerks Angels,4.99,1
527,Lola Agent,4.99,1
865,Sunrise League,4.99,1
126,Casualties Encino,4.99,1
485,Jersey Sassy,4.99,1
486,Jet Neighbors,4.99,1
487,Jingle Sagebrush,4.99,1
521,Lies Treatment,4.99,1
518,Liaisons Sweet,4.99,1
159,Closer Bang,4.99,1
515,Legally Secretary,4.99,1
512,League Hellfighters,4.99,1
510,Lawless Vision,4.99,1
508,Lambs Cincinatti,4.99,1
861,Suit Walls,4.99,1
506,Lady Stage,4.99,1
501,Kissing Dolls,4.99,1
161,Clue Grail,4.99,1
499,King Evolution,4.99,1
500,Kiss Glory,4.99,1
980,Wizard Coldblooded,4.99,1
860,Suicides Silence,4.99,1
859,Sugar Wonka,4.99,1
954,Wake Jaws,4.99,1
165,Coldblooded Darling,4.99,1
979,Witches Panic,4.99,1
167,Coma Head,4.99,1
858,Submarine Bed,4.99,1
950,Volume House,4.99,1
170,Command Darling,4.99,1
171,Commandments Express,4.99,1
172,Coneheads Smoochy,4.99,1
173,Confessions Maguire,4.99,1
174,Confidential Interview,4.99,1
973,Wife Turn,4.99,1
856,Streetcar Intentions,4.99,1
177,Connecticut Tramp,4.99,1
854,Strangers Graffiti,4.99,1
179,Conquerer Nuts,4.99,1
20,Amelie Hellfighters,4.99,1
21,American Circus,4.99,1
182,Control Anthem,4.99,1
183,Conversation Downhill,4.99,1
98,Bright Encounters,4.99,1
853,Stranger Strangers,4.99,1
972,Whisperer Giant,4.99,1
60,Beast Hunchback,4.99,1
846,Sting Personal,4.99,1
190,Creepers Kane,4.99,1
845,Stepmom Dream,4.99,1
192,Crossing Divorce,4.99,1
61,Beauty Grease,4.99,1
844,Steers Armageddon,4.99,1
195,Crowds Telemark,4.99,1
843,Steel Santa,4.99,1
1000,Zorro Ark,4.99,1
946,Virtual Spoilers,4.99,1
944,Virgin Daisy,4.99,1
838,Stagecoach Armageddon,4.99,1
65,Behavior Runaway,4.99,1
202,Daddy Pittsburgh,4.99,1
203,Daisy Menagerie,4.99,1
827,Spice Sorority,4.99,1
826,Speed Suit,4.99,1
824,Spartacus Cheaper,4.99,1
207,Dangerous Uptown,4.99,1
943,Villain Desperate,4.99,1
7,Airplane Sierra,4.99,1
210,Darko Dorado,4.99,1
211,Darling Breaking,4.99,1
212,Darn Forrester,4.99,1
214,Daughter Madigan,4.99,1
215,Dawn Pond,4.99,1
216,Day Unfaithful,4.99,1
217,Dazed Punk,4.99,1
818,Something Duck,4.99,1
219,Deep Crusade,4.99,1
68,Betrayed Rear,4.99,1
817,Soldiers Evolution,4.99,1
222,Desert Poseidon,4.99,1
971,Whale Bikini,4.99,1
224,Desperate Trainspotting,4.99,1
