"rental_id","rental_date","payment_id","amount"
14516,2006-02-14 15:16:03.000,31970,0.00
13161,2006-02-14 15:16:03.000,32066,0.00
12610,2006-02-14 15:16:03.000,31920,0.00
15191,2006-02-14 15:16:03.000,32040,0.00
14425,2006-02-14 15:16:03.000,31996,0.00
12959,2006-02-14 15:16:03.000,31925,0.00
14769,2006-02-14 15:16:03.000,31946,0.00
12915,2006-02-14 15:16:03.000,31983,0.00
15282,2006-02-14 15:16:03.000,32063,0.00
13968,2006-02-14 15:16:03.000,32015,0.00
15497,2006-02-14 15:16:03.000,32050,0.00
15745,2006-02-14 15:16:03.000,32026,0.00
13464,2006-02-14 15:16:03.000,32001,0.00
11676,2006-02-14 15:16:03.000,32085,0.00
13713,2006-02-14 15:16:03.000,31918,0.00
15407,2006-02-14 15:16:03.000,32024,0.00
14137,2006-02-14 15:16:03.000,32030,0.00
15234,2006-02-14 15:16:03.000,32089,0.00
12352,2006-02-14 15:16:03.000,32060,0.00
11782,2006-02-14 15:16:03.000,31942,0.00
13577,2006-02-14 15:16:03.000,31966,0.00
15717,2006-02-14 15:16:03.000,32079,0.00
14741,2006-02-14 15:16:03.000,32034,0.00
14488,2006-02-14 15:16:03.000,32039,0.00
2436,2005-06-18 18:13:32.000,18238,0.99
12830,2005-08-19 01:40:25.000,20861,0.99
14813,2005-08-22 01:11:37.000,24029,0.99
13959,2005-08-20 18:16:21.000,24027,0.99
13745,2005-08-20 10:53:49.000,24026,0.99
13044,2005-08-19 09:14:31.000,24025,0.99
11107,2005-08-02 08:19:38.000,20868,0.99
12964,2005-08-19 06:29:13.000,24024,0.99
15309,2005-08-22 19:54:52.000,24020,0.99
13000,2005-08-19 07:36:42.000,24014,0.99
15743,2005-08-23 12:12:05.000,23997,0.99
7369,2005-07-27 15:07:58.000,30579,0.99
15501,2005-08-23 02:39:56.000,23986,0.99
11463,2005-08-02 21:37:36.000,23978,0.99
11088,2005-08-02 07:48:31.000,23977,0.99
6740,2005-07-12 14:22:08.000,30578,0.99
4660,2005-07-08 09:54:47.000,30571,0.99
15133,2005-08-22 13:17:43.000,23970,0.99
13148,2005-08-19 12:55:30.000,23965,0.99
10110,2005-07-31 21:06:12.000,30569,0.99
14379,2005-08-21 09:53:03.000,23956,0.99
